"","label","AUC","precision","recall","accuracy","TP","FP","FN","TN","TPR","FPR"
"64","survived","0.9303",0.953125,0.983870967741935,0.938931297709924,122,6,2,1,0.983870967741935,0.857142857142857
"65","survived","0.9303",0.953125,0.983870967741935,0.938931297709924,122,6,2,1,0.983870967741935,0.857142857142857
"66","survived","0.9303",0.952755905511811,0.975806451612903,0.931297709923664,121,6,3,1,0.975806451612903,0.857142857142857
"67","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"68","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"69","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"70","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"71","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"72","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"73","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"74","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"75","survived","0.9303",0.952380952380952,0.967741935483871,0.923664122137405,120,6,4,1,0.967741935483871,0.857142857142857
"76","survived","0.9303",0.959677419354839,0.959677419354839,0.923664122137405,119,5,5,2,0.959677419354839,0.714285714285714
"77","survived","0.9303",0.967213114754098,0.951612903225806,0.923664122137405,118,4,6,3,0.951612903225806,0.571428571428571
"78","survived","0.9303",0.966942148760331,0.943548387096774,0.916030534351145,117,4,7,3,0.943548387096774,0.571428571428571
"79","survived","0.9303",0.982905982905983,0.92741935483871,0.916030534351145,115,2,9,5,0.92741935483871,0.285714285714286
"80","survived","0.9303",0.982300884955752,0.895161290322581,0.885496183206107,111,2,13,5,0.895161290322581,0.285714285714286
"81","survived","0.9303",0.982300884955752,0.895161290322581,0.885496183206107,111,2,13,5,0.895161290322581,0.285714285714286
"82","survived","0.9303",0.991071428571429,0.895161290322581,0.893129770992366,111,1,13,6,0.895161290322581,0.142857142857143
"83","survived","0.9303",0.990990990990991,0.887096774193548,0.885496183206107,110,1,14,6,0.887096774193548,0.142857142857143
"84","survived","0.9303",0.990825688073395,0.870967741935484,0.870229007633588,108,1,16,6,0.870967741935484,0.142857142857143
"85","survived","0.9303",0.990566037735849,0.846774193548387,0.847328244274809,105,1,19,6,0.846774193548387,0.142857142857143
"86","survived","0.9303",1,0.838709677419355,0.847328244274809,104,0,20,7,0.838709677419355,0
"87","survived","0.9303",1,0.806451612903226,0.816793893129771,100,0,24,7,0.806451612903226,0
"88","survived","0.9303",1,0.782258064516129,0.793893129770992,97,0,27,7,0.782258064516129,0
"89","survived","0.9303",1,0.774193548387097,0.786259541984733,96,0,28,7,0.774193548387097,0
"90","survived","0.9303",1,0.741935483870968,0.755725190839695,92,0,32,7,0.741935483870968,0
"91","survived","0.9303",1,0.693548387096774,0.709923664122137,86,0,38,7,0.693548387096774,0
"92","survived","0.9303",1,0.645161290322581,0.66412213740458,80,0,44,7,0.645161290322581,0
"93","survived","0.9303",1,0.629032258064516,0.648854961832061,78,0,46,7,0.629032258064516,0
"94","survived","0.9303",1,0.580645161290323,0.603053435114504,72,0,52,7,0.580645161290323,0
"95","survived","0.9303",1,0.491935483870968,0.519083969465649,61,0,63,7,0.491935483870968,0
"96","survived","0.9303",1,0.42741935483871,0.458015267175573,53,0,71,7,0.42741935483871,0
"97","survived","0.9303",1,0.354838709677419,0.389312977099237,44,0,80,7,0.354838709677419,0
"98","survived","0.9303",1,0.282258064516129,0.320610687022901,35,0,89,7,0.282258064516129,0
"99","survived","0.9303",1,0.17741935483871,0.221374045801527,22,0,102,7,0.17741935483871,0
"100","survived","0.9303",1,0.0806451612903226,0.129770992366412,10,0,114,7,0.0806451612903226,0
"101","survived","0.9303",1,0,0.0534351145038168,0,0,124,7,0,0
"102","survived","0.9303",1,0,0.0534351145038168,0,0,124,7,0,0
"103","died","0.9303",0.0534351145038168,1,0.0534351145038168,7,124,0,0,1,1
"104","died","0.9303",0.0578512396694215,1,0.129770992366412,7,114,0,10,1,0.919354838709677
"105","died","0.9303",0.0642201834862385,1,0.221374045801527,7,102,0,22,1,0.82258064516129
"106","died","0.9303",0.0729166666666667,1,0.320610687022901,7,89,0,35,1,0.717741935483871
